year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,18,104,2
1988,29,105,2
1989,19,115,3
1990,24,101,3
1991,23,103,3
1992,20,102,0
1993,23,109,3
1994,27,99,2
1995,20,105,4
1996,26,102,2
1997,28,100,3
1998,23,93,2
1999,23,114,1
2000,26,9,2
2001,19,93,2
2002,25,102,3
2003,30,106,3
2004,28,103,1
2005,23,109,2
2006,18,107,2
2007,20,107,2
2008,25,99,1
2009,23,106,2
2010,24,113,1
2011,21,99,2
2012,16,95,3
2013,22,97,3
2014,23,89,2
2015,19,107,2
2016,21,99,4
2016
2017,20,99,1
2018,20,101,2
2019,19,102,3
2020,16,101,3
2021,21,99,3
2022,18,96,2
2023,18,90,1
2024,21,9,3
2025,22,99,3
2026,21,9,4
2027,21,101,2
2028,17,97,3
2029,17,93,1
2030,20,91,4
2031,21,91,2
2032,19,97,2
2033,22,95,4
2034,20,97,1
2035,21,103,2
2036,20,99,2
2037,15,95,3
2038,17,97,4
2039,21,97,2
2040,17,102,2
2041,23,90,3
2042,17,9,3
2043,26,104,2
2044,21,94,3
2045,20,99,2
2046,19,95,3
