year,wheat-rainfed,barley-rainfed,oat-rainfed,rye-rainfed,triticale-rainfed,maize-for-grain-rainfed,maize-for-grain-irrigated,potato-rainfed,potato-irrigated,vineyard-rainfed,maize-silage-irrigated,maize-silage-rainfed,lucerne-alfalfa-rainfed,lucerne-alfalfa-irrigated
,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha
2000
2001,2900,2400,2200,1900,2300,3250,5000,17833,22364,2480,55000,40000,40000,60000
2002,2900,2400,2200,1900,2300,3500,5500,17833,22364,6800,55000,40000,40000,60000
2003,2830,2120,2110,1630,2250,4850,6610,21607,23100,2822,55210,45100,28000,32000
2004,2830,2120,2110,1630,2250,4850,6610,21563,,2454,55000,44000,40000,60000
2005,2830,2120,2110,1630,2250,4850,6610,21615,23100,2799,55000,45050,28000,32000
2006,4320,4610,2780,2450,2250,5190,6610,18759,21220,2256,55000,35200,28000,32000
2007,2850,3840,2300,2400,2300,4670,6870,15153,25580,9080,55000,40480,28000,32000
2008,4280,4610,2780,2530,2300,5130,6610,11281,11819,6515,48146,36430,28000,32000
2009,3330,2000,1400,1000,1900,7420,7420,23200,23355,2026,43480,43480
2010,3330,2000,1400,1000,1900,7420,7420,23199,23363,7652,43480,43480
2011,1838,1960,1372,1000,,7347,7347,20955,21425,10919,34250,34250
2012,2276,2156,1852,2174,,7624,7624,20386,20619,5289,37013,37013
2013,1777,2107,1372,1980,,7740,7740,19666,19528,8866,36262,36262
2014,1731,2624,1413,2352,2221,8173,8173,21555,21910,5395,39000,41475,8978
2015,3101,2630,1430,2330,2221,7740,7740,21606,21890,3946,34100,36260
2016,2700,2220,1410,1970,2020,7720,7720,17059,16850,3938,33130,31150
2017,2950,2100,2010,2780,,6020,6020,15700,26340,3938,28955,29310
