year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,545,268,200,855
1988,415,313,112,344
1989,234,181,68,813
1990,362,156,78,676
1991,483,117,274,465
1992,169,235,210,372
1993,150,592,176,673
1994,441,374,137,541
1995,533,196,176,847
1996,700,184,238,693
1997,305,396,94,870
1998,307,428,265,323
1999,327,372,292,562
2000,113,332,257,1207
2001,1024,254,182,449
2002,411,271,126,805
2003,546,275,192,621
2004,248,193,204,411
2005,192,218,107,575
2006,380,149,181,1053
2007,218,211,69,120
2008,219,310,173,236
2009,423,410,97,890
2010,590,252,65,682
2011,561,80,183,544
2012,102,370,162,668
2013,714,303,151,538
2014,736,265,268,552
2015,341,214,128,381
2016,678,417,152,330
