year,annual-estival-days
1987,59
1988,31
1989,59
1990,81
1991,47
1992,43
1993,39
1994,31
1995,60
1996,58
1997,80
1998,61
1999,67
2000,20
2001,48
2002,51
2003,52
2004,54
2005,69
2006,92
2007,49
2008,44
2009,35
2010,95
2011,38
2012,29
2013,71
2014,42
2015,67
2016,86
