year,annual-precipitations
1987,737
1988,651
1989,367
1990,546
1991,516
1992,593
1993,700
1994,656
1995,614
1996,593
1997,612
1998,830
1999,606
2000,802
2001,643
2002,726
2003,540
2004,748
2005,641
2006,675
2007,685
2008,801
2009,709
2010,530
2011,556
2012,1024
2013,735
2014,618
2015,718
2016,712
