year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,91,-14,-20,116
1988,71,-108,-10,90
1989,-41,-153,-214,44
1990,0,-99,-180,105
1991,127,-122,-152,83
1992,10,-154,-13,79
1993,-21,6,-23,116
1994,51,-125,-96,146
1995,106,-146,-114,57
1996,69,-90,-104,101
1997,-10,-16,-130,137
1998,48,140,-43,104
1999,31,-51,-42,48
2000,-10,36,-26,238
2001,61,-47,-76,60
2002,56,-137,-33,206
2003,19,-101,-96,38
2004,43,-27,20,109
2005,49,-50,-76,100
2006,59,-95,-60,132
2007,69,22,-83,77
2008,96,-55,101,65
2009,9,-88,-40,216
2010,104,-148,-78,76
2011,55,-159,-16,49
2012,-34,148,99,256
2013,100,-80,-41,146
2014,73,-33,-85,70
2015,6,-131,-26,216
2016,125,-24,-107,130
