year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,160,189,210,178
1988,158,117,218,158
1989,69,105,76,118
1990,122,142,98,184
1991,194,81,93,148
1992,102,109,233,150
1993,84,225,211,181
1994,149,132,158,216
1995,213,101,166,134
1996,140,138,138,177
1997,87,199,123,204
1998,140,339,167,183
1999,129,163,186,128
2000,90,238,169,304
2001,135,198,166,144
2002,154,107,189,276
2003,106,155,160,120
2004,130,202,244,173
2005,137,177,162,165
2006,128,143,200,203
2007,149,238,154,144
2008,197,158,317,129
2009,93,142,202,272
2010,163,84,158,125
2011,121,95,214,126
2012,62,337,316,310
2013,162,146,209,218
2014,157,182,148,131
2015,99,117,207,294
2016,205,184,140,184
