year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,0,1,-103,1,0,-168,86,16,134
1988,0,2,-63,3,0,-156,89,16,101
1989,0,5,-36,2,0,-113,91,11,106
1990,1,1,-21,3,0,-98,87,24,124
1991,2,0,-97,3,0,-219,76,13,63
1992,0,0,-78,2,0,-171,83,7,75
1993,1,0,-122,3,0,-263,78,13,94
1994,4,0,-66,3,0,-185,87,15,110
1995,0,4,-68,3,0,-165,82,18,85
1996,1,3,-104,5,0,-248,78,13,148
1997,0,2,-98,3,0,-181,89,23,132
1998,0,3,-80,2,0,-133,84,13,103
1999,2,0,-98,1,0,-193,84,8,75
2000,0,2,-48,3,0,-147,84,14,139
2001,0,0,-67,2,0,-99,85,13,128
2002,0,2,-22,4,0,-76,85,23,82
2003,4,0,-56,5,0,-119,84,27,118
2004,4,0,-64,5,0,-188,83,14,83
2005,1,0,-26,4,0,-86,76,25,171
2006,0,3,-30,4,0,-121,86,26,111
2007,3,0,-99,4,0,-109,74,9,105
2008,0,0,-74,5,0,-192,86,18,112
2009,0,2,-82,4,0,-110,79,9,126
2010,0,0,-76,1,0,-144,87,3,107
2011,1,2,-77,4,0,-168,78,15,88
2012,2,0,-96,2,0,-174,75,19,121
2013,1,0,-87,2,0,-165,84,29,30
2014,0,0,-35,1,0,-65,87,11,164
2015,7,0,-88,3,0,-168,85,16,112
2016,1,1,-90,4,0,-230,81,14,66
2016
2017,0,0,-76,2,0,-157,79,6,160
2018,3,0,-82,5,0,-186,67,1,70
2019,0,1,-71,2,0,-111,84,6,125
2020,0,0,-57,4,0,-93,80,8,131
2021,2,0,-94,1,0,-220,76,11,128
2022,0,0,-19,2,0,-108,85,7,106
2023,0,2,-113,3,0,-290,83,5,97
2024,3,0,-133,2,0,-243,70,2,146
2025,1,0,-103,5,0,-201,76,7,165
2026,0,1,-126,4,0,-264,77,11,165
2027,0,0,-85,3,0,-271,83,8,65
2028,0,0,-32,3,0,-112,77,11,104
2029,1,0,-81,3,0,-223,71,7,85
2030,1,2,-88,2,0,-157,82,21,149
2031,2,1,7,4,0,-49,80,2,150
2032,1,2,-5,1,0,-57,67,12,116
2033,0,1,23,3,0,-43,89,10,177
2034,0,1,51,2,0,-39,85,8,84
2035,1,1,-41,5,0,-163,78,6,164
2036,0,1,-39,4,0,-119,84,7,126
2037,0,0,-76,2,0,-157,80,7,161
2038,0,0,-30,2,0,-98,85,3,141
2039,0,0,-14,2,0,-32,78,9,122
2040,1,3,-70,4,0,-123,69,8,169
2041,0,0,-109,0,0,-146,75,10,165
2042,0,0,-133,3,0,-173,74,7,131
2043,2,0,-57,3,0,-145,81,4,102
2044,2,3,-44,1,0,-126,78,6,148
2045,2,0,-40,4,0,-100,71,2,135
2046,0,1,-17,5,0,-110,86,1,176
