year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,142,132,33,249
1988,126,166,23,137
1989,73,156,33,540
1990,70,113,20,201
1991,214,33,17,177
1992,75,154,55,182
1993,53,161,25,207
1994,90,141,8,157
1995,98,62,61,292
1996,233,114,25,237
1997,107,115,87,383
1998,106,107,63,23
1999,52,92,52,177
2000,43,243,8,262
2001,234,54,39,165
2002,171,70,36,205
2003,135,47,29,221
2004,140,34,15,138
2005,28,31,3,163
2006,114,55,34,225
2007,68,136,37,82
2008,116,117,10,94
2009,138,65,4,242
2010,330,116,8,274
2011,111,170,49,142
2012,13,60,34,209
2013,283,38,17,170
2014,152,74,70,163
2015,56,118,15,210
2016,141,149,20,144
