year,A1,A2,A3
,label A1,label A2,label A3
1987,137,1282,1095
1988,130,1233,1092
1989,134,1050,1209
1990,142,1275,1181
1991,130,1175,1044
1992,109,988,953
1993,145,1032,1182
1994,130,1080,1205
1995,93,1172,771
1996,120,937,1015
1997,102,968,836
1998,126,1239,929
1999,140,1013,1153
2000,118,1040,1038
2001,142,1074,1228
2002,125,1131,1010
2003,139,1098,1077
2004,144,995,1155
2005,132,1206,1132
2006,133,1044,1183
2007,130,1277,1100
2008,121,1084,1029
2009,123,1062,957
2010,115,995,974
2011,132,1033,1186
2012,122,1106,1020
2013,119,1077,1135
2014,128,1066,941
2015,132,1130,1044
2016,154,1073,1233
2016
2017,137,1282,1095
2018,130,1223,1092
2019,134,1034,1209
2020,142,1275,1181
2021,130,1174,1044
2022,109,986,953
2023,145,1032,1182
2024,130,1068,1205
2025,93,1149,771
2026,120,937,1015
2027,102,956,836
2028,126,1238,929
2029,140,1013,1153
2030,118,1040,1038
2031,142,1074,1228
2032,125,1131,1010
2033,139,1093,1077
2034,144,995,1155
2035,132,1206,1132
2036,133,1043,1183
2037,130,1277,1100
2038,121,1084,1029
2039,123,1060,957
2040,115,995,974
2041,132,1004,1186
2042,122,1105,1020
2043,119,1076,1135
2044,128,1065,941
2045,132,1126,1044
2046,154,1062,1233
