year,annual-hydric-deficit
1987,-693
1988,-821
1989,-548
1990,-929
1991,-946
1992,-925
1993,-784
1994,-923
1995,-910
1996,-674
1997,-610
1998,-1022
1999,-1003
2000,-789
2001,-881
2002,-888
2003,-943
2004,-1040
2005,-1196
2006,-943
2007,-1010
2008,-994
2009,-1025
2010,-610
2011,-909
2012,-1104
2013,-846
2014,-813
2015,-978
2016,-900
