year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,134,216,242,283
1988,149,298,100,216
1989,81,263,67,93
1990,97,189,102,306
1991,106,92,245,225
1992,134,333,291,321
1993,42,263,551,394
1994,87,135,267,189
1995,140,170,211,221
1996,133,137,181,320
1997,95,91,149,242
1998,63,179,180,105
1999,118,126,178,211
2000,77,171,125,385
2001,183,166,106,39
2002,140,240,258,288
2003,79,205,129,299
2004,116,75,87,195
2005,58,163,166,206
2006,116,55,224,185
2007,73,174,61,105
2008,147,232,131,297
2009,132,254,107,250
2010,250,237,87,278
2011,124,188,123,252
2012,33,335,127,322
2013,192,296,139,179
2014,237,165,167,218
2015,97,148,193,151
2016,109,135,134,285
