year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-22,-199,-199,165
1988,-39,-5,-402,75
1989,-114,-124,-435,-53
1990,-51,-197,-381,178
1991,-32,-310,-237,97
1992,-14,-14,-108,193
1993,-107,-98,130,251
1994,-108,-263,-218,63
1995,-40,-221,-233,82
1996,-16,-256,-246,172
1997,-101,-318,-312,88
1998,-136,-211,-327,-48
1999,-64,-276,-283,73
2000,-113,-234,-356,265
2001,26,-250,-395,-114
2002,-40,-173,-171,150
2003,-83,-238,-398,165
2004,-56,-339,-426,49
2005,-129,-262,-305,80
2006,-23,-392,-267,45
2007,-94,-231,-454,-70
2008,-31,-142,-341,164
2009,-48,-162,-384,101
2010,119,-134,-411,141
2011,-32,-234,-346,98
2012,-183,-68,-373,185
2013,84,-59,-257,86
2014,118,-216,-211,120
2015,-27,-252,-216,55
2016,-18,-250,-302,191
