year,F1,F3,M4
,label F1,label F3,label M4
1987,57,134,3
1988,58,129,1
1989,76,142,0
1990,58,132,1
1991,40,132,2
1992,63,135,2
1993,52,131,0
1994,41,125,2
1995,45,131,2
1996,61,130,0
1997,41,131,1
1998,67,135,5
1999,54,133,1
2000,67,132,1
2001,63,137,1
2002,55,121,2
2003,42,120,3
2004,67,144,3
2005,56,135,1
2006,59,145,1
2007,47,122,3
2008,56,127,2
2009,31,131,4
2010,60,135,3
2011,50,139,2
2012,70,148,0
2013,58,131,2
2014,79,142,4
2015,50,141,1
2016,53,140,4
2016
2017,50,117,3
2018,50,123,2
2019,60,132,3
2020,39,127,4
2021,54,141,3
2022,43,125,4
2023,63,131,3
2024,46,120,3
2025,37,124,3
2026,54,118,3
2027,47,118,4
2028,54,120,4
2029,43,131,2
2030,44,122,4
2031,64,139,4
2032,56,129,4
2033,20,134,1
2034,46,133,4
2035,40,124,2
2036,55,130,2
2037,38,124,3
2038,56,121,2
2039,56,129,5
2040,48,122,2
2041,45,134,3
2042,41,133,5
2043,59,140,3
2044,54,128,1
2045,49,125,2
2046,57,134,3

min,,80,0
max,,170,8
steps,,10,9
decimal



