year,F1,F3,M4
,label F1,label F3,label M4
1987,53,134,2
1988,66,141,2
1989,42,131,0
1990,62,133,3
1991,46,129,1
1992,60,129,0
1993,52,133,1
1994,42,134,3
1995,67,138,0
1996,51,135,2
1997,50,126,1
1998,40,136,3
1999,49,131,0
2000,30,125,2
2001,50,132,2
2002,40,140,2
2003,55,119,1
2004,47,140,2
2005,52,132,1
2006,48,128,2
2007,38,133,2
2008,40,123,1
2009,46,129,2
2010,50,111,2
2011,49,115,2
2012,62,141,4
2013,34,124,1
2014,55,121,0
2015,62,136,2
2016,42,126,2
2016
2017,51,132,3
2018,50,135,3
2019,51,132,2
2020,63,135,4
2021,29,136,5
2022,40,126,1
2023,29,136,1
2024,48,136,2
2025,52,130,3
2026,52,120,3
2027,53,124,2
2028,27,130,3
2029,30,124,3
2030,49,140,2
2031,24,136,2
2032,29,135,4
2033,49,130,3
2034,43,129,3
2035,46,124,2
2036,25,121,1
2037,39,131,3
2038,45,128,3
2039,48,130,2
2040,31,125,3
2041,65,139,4
2042,44,133,5
2043,33,128,1
2044,41,137,1
2045,43,125,3
2046,51,132,1

min,,80,0
max,,170,8
steps,,10,9
decimal
