year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.7,11.6,16.3,7.6
1988,5.9,12.0,15.4,8.3
1989,6.5,12.2,17.3,7.8
1990,7.7,12.0,16.6,8.0
1991,4.5,10.4,17.0,6.8
1992,5.1,13.0,16.8,7.4
1993,5.4,13.3,14.9,6.6
1994,6.1,11.7,17.0,9.5
1995,6.4,12.0,17.8,7.9
1996,3.5,11.4,15.7,6.7
1997,5.4,12.3,17.3,8.3
1998,6.6,13.1,16.2,7.4
1999,6.4,13.0,18.1,7.9
2000,6.3,13.1,16.6,8.8
2001,5.7,12.5,16.8,8.6
2002,7.2,12.5,16.5,8.8
2003,5.6,13.5,18.2,7.6
2004,5.7,12.6,17.4,8.0
2005,5.4,13.2,17.0,8.7
2006,3.8,12.7,18.8,10.0
2007,7.5,14.2,16.0,7.7
2008,6.8,13.2,16.4,7.4
2009,4.1,13.4,17.6,8.7
2010,3.8,12.1,17.0,6.0
2011,6.5,14.4,16.7,9.7
2012,5.4,12.1,16.8,8.4
2013,3.0,11.5,17.7,9.0
2014,7.6,13.2,17.4,9.8
2015,5.5,13.0,16.8,10.8
2016,6.1,12.9,18.3,7.9
