year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,144,176,254,192
1988,277,101,195,177
1989,188,127,100,182
1990,204,151,103,294
1991,120,196,114,175
1992,124,122,215,218
1993,93,269,222,285
1994,180,224,226,343
1995,340,85,166,79
1996,92,111,134,206
1997,78,212,139,222
1998,125,210,210,279
1999,168,216,210,293
2000,150,286,224,481
2001,291,182,308,219
2002,263,197,219,358
2003,102,248,124,135
2004,148,110,237,180
2005,121,156,224,227
2006,149,178,206,207
2007,201,192,246,175
2008,206,134,234,229
2009,129,90,120,293
2010,169,106,188,181
2011,127,74,251,242
2012,108,212,218,365
2013,105,145,162,282
2014,232,182,309,203
2015,192,107,220,198
2016,250,238,143,151
