year,A1,A2,A3
,label A1,label A2,label A3
1987,17,2457,105
1988,6,2762,60
1989,2,2475,25
1990,10,2722,52
1991,3,2709,51
1992,3,2679,21
1993,6,2554,61
1994,0,2711,15
1995,11,2746,62
1996,6,2684,27
1997,7,2512,61
1998,1,2559,18
1999,3,2633,42
2000,0,2613,19
2001,10,2488,62
2002,6,2715,57
2003,5,2507,47
2004,9,2720,65
2005,6,2568,45
2006,5,2599,38
2007,3,2453,39
2008,1,2344,34
2009,4,2678,38
2010,0,2357,22
2011,5,2532,42
2012,8,2768,46
2013,7,2589,61
2014,7,2702,47
2015,1,2699,18
2016,10,2347,60
2016
2017,8,2421,72
2018,9,2531,79
2019,11,2490,83
2020,8,2466,64
2021,0,2563,9
2022,10,2367,69
2023,7,2471,84
2024,9,2407,77
2025,7,2433,71
2026,8,2279,71
2027,6,2325,73
2028,13,2364,72
2029,12,2387,118
2030,10,2630,121
2031,19,2326,123
2032,8,2373,55
2033,10,2407,69
2034,6,2421,45
2035,13,2376,92
2036,13,2231,93
2037,21,2391,103
2038,11,2526,93
2039,7,2464,55
2040,14,2379,88
2041,9,2682,74
2042,11,2533,92
2043,10,2365,94
2044,14,2471,98
2045,15,2370,113
2046,11,2324,90

min,,1800
max,,3400
steps,,9
decimal


