year,annual-average-temperature
1987,9.3
1988,10.4
1989,11.0
1990,11.1
1991,9.7
1992,10.6
1993,10.1
1994,11.1
1995,11.0
1996,9.3
1997,10.8
1998,10.8
1999,11.4
2000,11.2
2001,10.9
2002,11.2
2003,11.2
2004,11.0
2005,11.1
2006,11.4
2007,11.4
2008,11.0
2009,11.0
2010,9.8
2011,11.9
2012,10.7
2013,10.3
2014,12.0
2015,11.6
2016,11.3

min,7
max,13
steps,7
decimal
