year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,82,-24,30,125
1988,211,-103,6,133
1989,130,-115,-168,96
1990,97,-103,-192,231
1991,50,-8,-153,110
1992,49,-147,-49,166
1993,11,12,-9,211
1994,92,-20,-45,265
1995,244,-155,-141,-3
1996,11,-138,-149,126
1997,-10,-48,-144,142
1998,32,-43,-46,205
1999,80,-36,-90,208
2000,61,42,-25,399
2001,217,-83,40,138
2002,161,-53,-37,279
2003,-6,-31,-206,55
2004,54,-149,-45,105
2005,40,-111,-33,142
2006,69,-68,-101,118
2007,105,-70,3,107
2008,117,-129,-24,161
2009,50,-181,-187,212
2010,88,-158,-95,112
2011,34,-243,-12,154
2012,17,-24,-60,290
2013,39,-91,-130,204
2014,119,-79,48,117
2015,98,-187,-61,105
2016,152,-6,-159,78
