year,annual-average-temperature
1987,10.4
1988,11.2
1989,11.8
1990,11.9
1991,10.7
1992,11.2
1993,10.9
1994,12.0
1995,11.8
1996,10.5
1997,11.7
1998,11.6
1999,12.2
2000,11.9
2001,11.8
2002,12.2
2003,12.0
2004,11.5
2005,11.6
2006,11.9
2007,11.6
2008,11.4
2009,11.4
2010,10.4
2011,12.2
2012,11.3
2013,10.9
2014,12.3
2015,12.0
2016,11.5

min,8
max,14
steps,7
decimal
