year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,1,0,-107,5,0,-243,58,14,91
1988,3,0,-93,4,0,-208,68,6,132
1989,2,0,-94,6,0,-198,74,8,118
1990,2,0,-118,3,0,-173,76,13,81
1991,1,0,-131,4,0,-306,82,6,55
1992,4,1,-85,7,0,-241,74,12,105
1993,5,0,-182,4,0,-322,53,5,126
1994,10,0,-167,4,0,-377,68,5,88
1995,1,1,-9,3,0,-104,73,9,83
1996,0,0,-112,4,0,-301,83,21,97
1997,0,0,-116,4,0,-321,70,14,114
1998,2,0,-100,3,0,-230,79,9,49
1999,0,0,-163,3,0,-330,73,3,65
2000,6,0,-71,4,0,-261,76,12,85
2001,3,1,-81,5,0,-232,80,7,111
2002,4,1,-13,3,0,-194,70,4,86
2003,2,5,-76,5,0,-245,76,9,121
2004,4,0,-104,5,0,-249,71,14,64
2005,2,0,-61,4,0,-219,80,3,68
2006,3,0,-95,2,1,-189,69,18,92
2007,3,0,-61,4,0,-185,70,7,94
2008,1,0,-115,6,0,-282,81,8,132
2009,0,0,-72,3,0,-198,82,6,68
2010,2,0,-125,3,0,-264,62,14,103
2011,2,0,-89,3,0,-209,83,10,115
2012,0,0,-43,2,0,-175,81,14,61
2013,2,1,-84,2,0,-170,82,8,126
2014,6,0,-70,4,0,-248,71,21,47
2015,2,0,-96,6,0,-206,72,4,67
2016,3,0,-27,4,0,-185,79,4,74
2016
2017,5,1,-51,4,0,-177,64,2,80
2018,12,1,-91,6,0,-265,60,5,56
2019,2,0,-102,6,0,-273,73,0,115
2020,2,0,-88,5,0,-245,69,1,73
2021,6,1,-124,5,0,-309,59,6,107
2022,8,0,-88,6,0,-241,65,3,130
2023,8,0,-203,6,0,-443,70,1,74
2024,1,0,-154,5,0,-334,67,4,110
2025,13,0,-162,4,0,-318,62,1,61
2026,8,0,-150,4,0,-387,67,3,102
2027,8,0,-147,6,0,-370,61,4,50
2028,10,0,-126,5,0,-292,67,1,90
2029,2,0,-64,4,0,-320,68,4,43
2030,5,0,-161,7,0,-363,58,1,70
2031,7,0,-121,2,0,-167,66,8,155
2032,5,0,-85,3,0,-227,56,3,74
2033,6,0,-134,4,0,-283,49,3,106
2034,0,0,-146,7,0,-313,65,0,88
2035,6,0,-110,5,0,-244,66,6,90
2036,6,0,-76,4,0,-248,70,7,71
2037,4,1,-97,6,0,-269,64,3,56
2038,8,0,-153,6,0,-316,60,4,69
2039,3,0,-133,6,0,-302,60,1,73
2040,7,0,-101,4,0,-279,60,9,76
2041,2,0,-87,3,0,-282,74,6,54
2042,4,0,-142,3,0,-270,74,5,147
2043,14,0,-145,6,0,-305,54,5,89
2044,9,0,-93,3,0,-250,59,6,81
2045,6,3,-85,6,0,-279,70,4,79
2046,4,0,-129,5,0,-288,64,5,147

min,,,,0
max,,,,14
steps,,,,8
decimal
