year,F1,F3,M4
,label F1,label F3,label M4
1987,36,125,3
1988,34,119,2
1989,45,127,3
1990,51,133,0
1991,43,120,1
1992,57,129,2
1993,35,118,2
1994,33,115,2
1995,28,128,1
1996,34,127,0
1997,53,122,0
1998,49,120,2
1999,39,109,2
2000,23,114,2
2001,33,124,2
2002,52,126,1
2003,28,135,1
2004,39,128,2
2005,35,136,2
2006,37,122,2
2007,35,128,1
2008,33,130,3
2009,26,125,2
2010,35,124,0
2011,39,119,0
2012,27,119,1
2013,28,119,1
2014,38,120,2
2015,35,124,3
2016,55,124,3
2016
2017,28,119,1
2018,41,133,1
2019,38,125,2
2020,27,119,4
2021,31,122,2
2022,27,133,1
2023,39,117,5
2024,36,122,3
2025,28,125,5
2026,24,118,3
2027,31,117,5
2028,37,114,5
2029,23,120,3
2030,26,127,4
2031,22,117,0
2032,33,122,2
2033,27,115,1
2034,24,126,4
2035,25,123,3
2036,27,123,1
2037,38,134,2
2038,37,125,3
2039,30,121,3
2040,20,123,3
2041,25,125,3
2042,28,118,0
2043,29,119,3
2044,29,118,2
2045,32,129,4
2046,29,117,5

min,,80,0
max,,170,8
steps,,10,9
decimal
