year,annual-estival-days
1987,20
1988,15
1989,31
1990,28
1991,23
1992,19
1993,7
1994,20
1995,34
1996,17
1997,25
1998,15
1999,26
2000,20
2001,28
2002,15
2003,42
2004,26
2005,28
2006,40
2007,5
2008,10
2009,26
2010,23
2011,22
2012,21
2013,26
2014,13
2015,23
2016,26
