year,F1,F3,M4
,label F1,label F3,label M4
1987,106,158,0
1988,111,159,2
1989,110,162,1
1990,110,158,1
1991,105,164,1
1992,112,155,1
1993,110,161,1
1994,107,154,0
1995,109,155,1
1996,125,165,1
1997,119,165,2
1998,122,163,3
1999,114,167,2
2000,123,158,3
2001,108,160,2
2002,75,151,3
2003,119,161,3
2004,131,173,0
2005,122,170,2
2006,126,168,1
2007,113,163,1
2008,118,163,2
2009,103,158,1
2010,105,158,2
2011,96,156,1
2012,123,164,2
2013,107,165,2
2014,111,158,1
2015,109,162,1
2016,115,164,2
2016
2017,9,160,1
2018,92,153,1
2019,108,161,3
2020,111,163,2
2021,106,157,2
2022,9,152,1
2023,105,156,2
2024,107,156,2
2025,110,158,3
2026,110,160,2
2027,101,156,2
2028,86,155,1
2029,84,152,5
2030,109,168,3
2031,91,158,2
2032,72,151,1
2033,110,166,1
2034,115,169,2
2035,113,159,3
2036,112,162,2
2037,116,167,3
2038,86,152,2
2039,97,159,2
2040,87,150,1
2041,84,151,4
2042,118,166,1
2043,87,152,3
2044,113,167,2
2045,97,148,1
2046,113,157,3

min,,19-May
max,,18-Jul
steps,,4
decimal
