year,winter-soft-wheat,spring-soft-wheat,rye,winter-barley,spring-barley,spring-oat,winter-rapeseed,spring-rapeseed,linseed-oild,spring-field-bean,spring-field-peas,potatoes,temporary-grasslands
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,56,42,50,,36,37,31,17,3,,23,281
2001,59,43,50,,40,38,27,22,6,,26,258
2002,61,42,52,,45,42,33,22,,,30,265
2003,51,38,49,,38,38,25,18,,,24,255,48.4
2004,57,37,55,,45,42,33,23,,22,29,278,43.4
2005,63,38,48,,41,40,30,17,12,24,25,277,45.8
2006,60,36,52,,37,34,30,17,12,20,27,281,40.7
2007,59,34,48,,43,45,30,18,,19,22,284,43.3
2008,55,32,50,54,41,37,28,21,,23,27,310,44.1
2009,52,37,48,39,46,39,22,18,16,31,28,305,50.6
2010,57,38,42,51,44,42,28,16,14,28,27,292,46.4
2011,52,36,41,47,45,41,25,19,12,35,18,280,45.2
2012,60,39,52,,44,40,27,17,11,30,25,303,44.8
2013,58,46,46,52,51,46,23,21,,36,34,320,44
2014,68,40,57,71,47,44,39,19,,36,30,323,52.9
2015,74,40,62,65,48,47,41,18,,39,33,324,61.1
2016,61,43,57,48,49,49,29,20,18,37,35,335,51.8
2017,76,41,61,64,53,48,36,,,36,35,331,54.7
