year,V1,V2,V3,V9
,label V1-EMU,label V2-EMU,label V3,label V9-EMU
1987,1020,9,-122,1
1988,1090,10,-169,0
1989,947,9,-153,0
1990,1019,7,-207,0
1991,1030,7,-347,1
1992,1167,8,-158,0
1993,1057,7,-272,3
1994,908,7,-202,0
1995,904,7,-126,0
1996,1082,9,-228,0
1997,959,9,-290,1
1998,1003,7,-244,3
1999,812,7,-285,3
2000,1290,10,-314,0
2001,1038,9,-155,1
2002,1199,8,-298,0
2003,1006,7,-198,1
2004,1154,9,-193,4
2005,899,8,-71,2
2006,988,7,-197,0
2007,1158,9,-218,1
2008,1115,8,-217,2
2009,1064,9,-168,0
2010,1089,9,-199,0
2011,1114,10,-185,0
2012,982,8,-109,0
2013,972,8,-183,0
2014,1005,8,-155,0
2015,822,7,-3,2
2016,989,8,-227,1
2016
2017,1137,9,-189,0
2018,1127,9,-210,0
2019,1081,9,-221,3
2020,952,8,-179,1
2021,933,8,-194,0
2022,859,9,-74,3
2023,1121,8,-293,1
2024,1200,10,-278,0
2025,1106,9,-198,1
2026,1130,8,-357,0
2027,1088,9,-381,0
2028,988,8,-168,0
2029,1121,9,-394,1
2030,863,7,-225,2
2031,855,8,-80,3
2032,1038,8,-109,1
2033,1041,8,-183,0
2034,773,8,-227,1
2035,1235,10,-199,0
2036,926,9,-157,3
2037,995,9,-163,0
2038,1116,9,-104,0
2039,1034,9,-263,0
2040,929,10,-52,0
2041,1245,10,-252,0
2042,1019,9,-240,2
2043,1225,9,-147,0
2044,974,9,-112,0
2045,1100,9,-92,0
2046,1034,9,-201,0

min,600,2
max,1500,14
steps,7,7
decimal
