year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,62,121,151,112
1988,126,50,238,114
1989,50,31,186,74
1990,311,94,243,108
1991,99,119,110,63
1992,119,88,165,190
1993,77,77,159,202
1994,149,89,324,139
1995,123,181,165,119
1996,48,142,179,162
1997,87,170,172,131
1998,153,185,214,234
1999,172,249,222,153
2000,143,250,153,293
2001,155,163,201,145
2002,336,197,107,172
2003,126,245,226,275
2004,129,134,261,238
2005,83,137,165,144
2006,89,140,212,234
2007,153,187,270,85
2008,165,89,312,183
2009,62,95,288,183
2010,109,128,283,155
2011,74,204,285,125
2012,67,223,194,204
2013,45,115,68,187
2014,133,168,171,165
2015,96,135,207,143
2016,108,143,127,113
