year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,19,-106,-91,57
1988,79,-229,-4,66
1989,-24,-248,-78,18
1990,219,-187,-19,54
1991,41,-126,-169,0
1992,57,-207,-90,137
1993,16,-194,-62,164
1994,90,-162,39,77
1995,69,-57,-107,72
1996,8,-81,-89,123
1997,28,-72,-106,92
1998,96,-22,12,201
1999,136,19,-30,114
2000,94,17,-62,255
2001,112,-81,-45,95
2002,277,-59,-154,134
2003,76,-3,-32,234
2004,87,-133,33,198
2005,35,-96,-73,103
2006,62,-101,-44,199
2007,104,-63,56,52
2008,114,-177,93,142
2009,25,-164,61,153
2010,81,-106,62,122
2011,23,-59,63,86
2012,7,-5,-27,176
2013,11,-126,-175,153
2014,82,-75,-75,129
2015,43,-109,-44,100
2016,56,-117,-117,61
