year,annual-average-temperature
1987,4.9
1988,6.9
1989,8.0
1990,8.2
1991,7.3
1992,8.1
1993,6.4
1994,7.3
1995,6.8
1996,5.6
1997,7.0
1998,6.5
1999,7.2
2000,8.1
2001,6.8
2002,7.5
2003,7.1
2004,7.1
2005,7.4
2006,7.3
2007,7.7
2008,7.9
2009,7.0
2010,4.6
2011,7.8
2012,6.7
2013,6.9
2014,8.5
2015,8.1
2016,7.6

min,2
max,10
steps,5
decimal,1
