year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,98,-99,-1,164
1988,227,-179,31,127
1989,77,82,278,97
1990,88,76,7,139
1991,29,23,112,119
1992,71,-183,-111,192
1993,95,-57,139,165
1994,68,-85,-153,79
1995,97,1,-75,82
1996,5,-20,-23,146
1997,37,-95,-14,145
1998,97,12,126,205
1999,198,174,112,180
2000,201,-59,144,172
2001,138,76,96,183
2002,130,-49,333,238
2003,75,-78,-15,134
2004,89,-116,-41,69
2005,135,54,138,58
2006,201,38,-42,74
2007,110,-128,103,118
2008,61,-129,70,103
2009,142,93,29,122
2010,38,55,137,82
2011,39,-37,116,125
2012,74,-9,19,157
2013,216,154,-76,91
2014,-12,-51,160,87
2015,76,85,-176,49
2016,92,133,44,77
