year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,167,165,286,239
1988,316,123,320,195
1989,167,361,558,168
1990,188,358,298,205
1991,108,275,407,182
1992,149,126,203,252
1993,173,259,416,231
1994,160,207,176,153
1995,180,255,220,142
1996,69,258,228,204
1997,114,190,268,213
1998,187,310,400,259
1999,261,429,376,230
2000,268,246,418,236
2001,215,370,385,249
2002,226,262,609,303
2003,155,269,346,196
2004,162,156,241,129
2005,202,334,397,117
2006,258,316,256,137
2007,201,204,372,175
2008,148,163,340,159
2009,201,382,306,180
2010,114,315,415,139
2011,115,273,390,188
2012,152,285,297,208
2013,276,410,238,147
2014,73,239,423,147
2015,154,362,155,111
2016,169,410,333,128
