year,A1,A2,A3
,label A1,label A2,label A3
1987,7,2978,65
1988,14,2850,94
1989,13,3078,88
1990,14,3575,98
1991,2,3495,39
1992,20,3098,131
1993,15,3001,104
1994,18,3844,174
1995,15,3388,102
1996,9,3132,91
1997,3,3101,47
1998,6,3334,62
1999,5,3200,56
2000,18,3075,138
2001,27,2992,166
2002,14,3317,91
2003,12,3352,93
2004,6,2952,55
2005,19,2905,117
2006,33,3321,196
2007,3,3044,31
2008,7,3472,74
2009,11,3097,94
2010,18,3542,121
2011,4,3273,44
2012,11,3192,73
2013,13,3082,100
2014,7,3109,40
2015,20,3360,147
2016,22,3349,134
2016
2017,23,3146,155
2018,32,2754,214
2019,20,2967,161
2020,22,2683,160
2021,30,2778,273
2022,31,2922,183
2023,9,3096,72
2024,21,3062,151
2025,9,2841,83
2026,19,2876,149
2027,28,2525,211
2028,32,2637,197
2029,21,2825,175
2030,22,2805,188
2031,8,2661,54
2032,20,2772,146
2033,18,3135,131
2034,20,2972,138
2035,34,3036,215
2036,36,2818,235
2037,19,2616,132
2038,25,2819,144
2039,24,3078,146
2040,29,2818,200
2041,17,2888,118
2042,12,2987,70
2043,31,2954,227
2044,32,2612,196
2045,42,2511,261
2046,23,2732,157

min,,2000
max,,4000
steps,,9
decimal
