year,annual-average-temperature
1987,8.6
1988,9.9
1989,9.6
1990,9.3
1991,8.4
1992,9.8
1993,9.2
1994,10.6
1995,9.0
1996,7.6
1997,8.7
1998,9.1
1999,9.1
2000,10.0
2001,9.2
2002,9.8
2003,9.4
2004,8.9
2005,8.5
2006,9.1
2007,10.1
2008,9.9
2009,9.5
2010,8.5
2011,9.9
2012,9.6
2013,9.3
2014,10.5
2015,10.5
2016,10.0

min,6
max,14
steps,9
decimal
