year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,101,264,377,127
1988,110,127,303,160
1989,112,170,288,178
1990,216,102,251,131
1991,123,169,286,184
1992,265,123,172,187
1993,165,114,267,242
1994,184,164,183,128
1995,85,186,129,120
1996,40,103,144,137
1997,76,89,100,132
1998,100,149,272,149
1999,121,103,135,202
2000,118,150,201,175
2001,122,182,231,250
2002,125,121,96,151
2003,81,163,276,172
2004,105,192,280,143
2005,103,140,185,85
2006,50,96,78,215
2007,134,115,197,164
2008,172,172,335,235
2009,116,133,292,255
2010,137,179,234,231
2011,99,139,294,205
2012,142,242,261,184
2013,83,124,136,208
2014,109,221,222,136
2015,107,152,228,127
2016,182,212,328,190
