year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,72,18,160,89
1988,75,-160,63,127
1989,63,-109,43,148
1990,171,-160,37,101
1991,81,-61,48,149
1992,212,-123,-75,145
1993,132,-139,59,215
1994,154,-83,-60,99
1995,49,-40,-95,88
1996,10,-110,-72,107
1997,39,-124,-141,109
1998,65,-75,74,120
1999,87,-146,-110,166
2000,80,-92,-12,129
2001,84,-44,-29,204
2002,69,-159,-175,115
2003,37,-61,39,134
2004,71,-59,57,105
2005,67,-91,-65,40
2006,21,-171,-199,177
2007,93,-150,-43,130
2008,130,-81,133,196
2009,84,-114,63,225
2010,111,-57,-37,200
2011,61,-129,53,166
2012,111,-5,34,153
2013,51,-139,-112,164
2014,60,-23,-53,97
2015,53,-99,-20,78
2016,142,-55,104,147
