year,annual-frozen-days
1987,168
1988,176
1989,131
1990,126
1991,132
1992,104
1993,165
1994,167
1995,147
1996,154
1997,167
1998,140
1999,141
2000,113
2001,146
2002,150
2003,138
2004,150
2005,150
2006,127
2007,122
2008,115
2009,146
2010,158
2011,118
2012,143
2013,131
2014,133
2015,101
2016,135
