year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,143,276,241,170
1988,404,152,177,231
1989,109,212,252,207
1990,98,223,172,159
1991,84,301,231,102
1992,434,233,284,661
1993,131,173,409,173
1994,523,384,308,345
1995,870,336,325,389
1996,140,381,385,477
1997,379,400,228,392
1998,189,218,322,439
1999,272,337,350,279
2000,309,167,368,191
2001,313,247,328,323
2002,274,309,471,416
2003,153,162,193,227
2004,212,262,400,367
2005,339,301,282,214
2006,445,420,399,377
2007,598,431,359,476
2008,487,247,357,352
2009,319,303,334,440
2010,305,230,304,432
2011,259,181,290,459
2012,324,323,282,606
2013,327,312,411,457
2014,244,220,478,347
2015,126,338,127,117
2016,211,371,261,133
