year,annual-hydric-deficit
1987,244
1988,336
1989,143
1990,-131
1991,-17
1992,895
1993,174
1994,834
1995,1256
1996,742
1997,713
1998,450
1999,583
2000,336
2001,526
2002,773
2003,-98
2004,559
2005,438
2006,922
2007,1162
2008,764
2009,689
2010,624
2011,450
2012,824
2013,849
2014,597
2015,-72
2016,289
