year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1076,7,-37,8
1988,1007,5,-13,7
1989,862,11,20,5
1990,729,8,198,7
1991,1148,10,-141,1
1992,1185,9,59,2
1993,1113,8,-157,1
1994,1138,9,-204,3
1995,864,9,-11,12
1996,1008,9,-278,6
1997,1001,8,-36,4
1998,1125,8,-45,12
1999,957,8,-92,8
2000,803,7,18,14
2001,953,8,124,5
2002,1156,9,96,0
2003,1455,10,-98,0
2004,1112,9,-63,2
2005,963,9,81,4
2006,1006,10,46,5
2007,1041,9,177,3
2008,1365,9,-35,1
2009,972,7,153,0
2010,990,8,-88,10
2011,1020,9,-68,7
2012,1065,7,-57,5
2013,1035,12,63,5
2014,951,8,-6,11
2015,1220,13,-16,7
2016,818,9,-9,8
2016
2017,1231,12,-33,3
2018,1362,11,18,10
2019,1410,11,-35,6
2020,1174,11,-120,19
2021,1247,10,-105,16
2022,1484,11,-115,8
2023,1454,9,-373,5
2024,1435,10,-98,7
2025,1457,10,-15,7
2026,1179,11,-199,10
2027,1346,10,-299,0
2028,1435,8,-155,2
2029,1354,8,-311,6
2030,1294,9,-247,11
2031,1358,12,-123,7
2032,1339,10,-133,1
2033,1458,13,-176,7
2034,1438,11,-282,0
2035,1506,10,-174,7
2036,1458,10,-150,5
2037,1180,9,-79,7
2038,1488,11,-179,9
2039,1459,9,-237,3
2040,1413,12,-174,8
2041,1473,10,-109,1
2042,1260,11,-93,2
2043,1467,11,-166,9
2044,1495,10,-91,2
2045,1574,12,-158,0
2046,1435,10,-190,3

min,,4
max,,17
steps,,8
decimal
