year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-3.2,9.1,15.5,4.0
1988,0.5,10.6,14.4,3.8
1989,2.7,9.8,14.7,3.6
1990,4.5,11.6,16.1,4.5
1991,1.1,9.6,17.4,3.1
1992,2.0,12.0,17.2,4.4
1993,1.4,12.7,14.7,3.2
1994,3.1,11.3,17.0,6.0
1995,2.0,11.0,15.9,5.1
1996,-0.3,11.6,14.0,3.7
1997,3.1,11.1,16.5,4.9
1998,2.8,12.1,15.4,3.0
1999,1.6,11.6,16.7,3.6
2000,2.1,12.9,15.3,5.7
2001,2.6,11.1,15.2,4.1
2002,3.2,12.0,14.9,5.3
2003,0.7,13.8,18.0,3.7
2004,1.3,11.3,16.1,4.6
2005,0.6,12.5,15.7,4.4
2006,-0.7,12.1,17.3,7.6
2007,4.1,14.2,14.9,3.6
2008,3.1,12.4,15.1,4.3
2009,0.1,13.4,16.9,5.4
2010,0.1,11.4,15.7,3.4
2011,2.6,13.7,16.4,6.0
2012,1.2,12.3,16.2,5.1
2013,-0.7,10.6,16.8,5.5
2014,4.3,12.6,15.5,6.7
2015,1.6,12.5,17.4,6.9
2016,2.3,11.5,17.5,4.4
