year,A1,A2,A3
,label A1,label A2,label A3
1987,5,3509,54
1988,5,3641,57
1989,1,3186,20
1990,1,3481,19
1991,2,3265,40
1992,7,3344,44
1993,3,3200,46
1994,9,3134,84
1995,3,3378,32
1996,2,3642,37
1997,1,3320,13
1998,8,3473,47
1999,4,3552,42
2000,3,3975,47
2001,1,3526,14
2002,10,3254,64
2003,22,3261,145
2004,10,3390,73
2005,3,3233,32
2006,8,3266,52
2007,1,3537,15
2008,13,3271,91
2009,5,3400,36
2010,8,3411,48
2011,12,3548,74
2012,3,3537,42
2013,6,3282,47
2014,10,3533,57
2015,12,3258,67
2016,3,3499,21
2016
2017,23,3185,132
2018,30,2935,176
2019,33,2750,197
2020,17,3151,115
2021,16,3016,119
2022,34,3085,211
2023,22,3214,157
2024,27,3239,206
2025,18,3058,150
2026,13,3206,93
2027,6,2734,74
2028,23,2571,123
2029,20,2690,178
2030,17,2910,116
2031,13,3202,104
2032,21,3072,133
2033,35,3022,179
2034,20,2888,119
2035,35,3189,204
2036,27,2944,167
2037,19,2833,113
2038,29,2844,188
2039,26,3019,168
2040,11,3175,108
2041,20,2890,142
2042,13,2771,93
2043,30,3049,213
2044,19,2933,133
2045,25,2914,158
2046,24,3057,162

min,,2000
max,,4000
steps,,9
decimal
