year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,91,56,-23,120
1988,352,-97,-99,180
1989,37,-46,-4,156
1990,-7,-63,-147,86
1991,3,32,-89,36
1992,352,-48,-8,600
1993,46,-119,137,110
1994,433,118,7,275
1995,785,95,52,325
1996,74,118,136,415
1997,293,139,-41,322
1998,91,-68,49,378
1999,200,90,77,216
2000,235,-121,99,122
2001,240,-17,48,255
2002,178,25,219,351
2003,60,-158,-162,161
2004,135,-4,123,305
2005,265,13,13,147
2006,383,147,101,292
2007,513,127,106,416
2008,396,-22,100,290
2009,257,16,49,367
2010,230,-14,37,372
2011,176,-125,11,389
2012,235,47,1,541
2013,274,76,105,394
2014,150,-70,233,283
2015,50,49,-216,46
2016,141,117,-46,77
