year,annual-average-temperature
1987,6.4
1988,7.4
1989,7.7
1990,9.2
1991,7.9
1992,8.9
1993,8.1
1994,9.4
1995,8.5
1996,7.3
1997,8.9
1998,8.4
1999,8.5
2000,9.0
2001,8.3
2002,8.9
2003,9.1
2004,8.3
2005,8.4
2006,9.1
2007,9.2
2008,8.7
2009,9.0
2010,7.7
2011,9.7
2012,8.7
2013,8.1
2014,9.8
2015,9.7
2016,9.0

min,6
max,14
steps,9
decimal
