year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1542,11,-221,2
1988,1447,9,-359,2
1989,1218,9,-279,10
1990,1489,12,-213,4
1991,1706,10,-431,2
1992,1584,9,-245,2
1993,1696,11,-412,5
1994,1492,10,-319,2
1995,1388,11,-160,10
1996,1668,11,-395,7
1997,1492,12,-336,1
1998,1594,10,-313,3
1999,1549,11,-387,9
2000,1390,10,-367,2
2001,1499,8,-154,2
2002,1415,9,-203,1
2003,1545,12,-245,0
2004,1612,11,-252,1
2005,1720,11,-271,0
2006,1519,11,-243,5
2007,1619,9,-265,4
2008,1528,10,-306,3
2009,1520,11,-191,2
2010,1780,13,-226,5
2011,1692,10,-329,2
2012,1715,11,-310,0
2013,1420,10,-135,0
2014,1514,11,-328,0
2015,1896,11,-289,0
2016,1455,10,-278,5
2016
2017,1793,11,-260,0
2018,1699,12,-266,2
2019,1857,11,-303,0
2020,1714,10,-338,2
2021,1946,13,-499,3
2022,1737,12,-330,9
2023,1922,12,-475,2
2024,1975,12,-585,0
2025,1939,12,-278,3
2026,1839,11,-534,2
2027,2042,13,-466,2
2028,1955,9,-402,0
2029,1639,12,-471,3
2030,1834,12,-355,4
2031,1807,12,-327,0
2032,1973,13,-328,0
2033,1716,11,-313,6
2034,1965,13,-419,8
2035,1650,11,-257,3
2036,1841,11,-293,2
2037,1843,13,-320,3
2038,1872,12,-424,1
2039,1818,12,-375,3
2040,1758,11,-378,1
2041,1940,13,-329,2
2042,1874,11,-426,0
2043,1961,12,-394,0
2044,1882,12,-377,3
2045,1889,11,-421,0
2046,1586,10,-288,3

min,1000,6
max,2500,16
steps,7,11
decimal



