year,annual-precipitations
1987,888
1988,978
1989,725
1990,858
1991,702
1992,610
1993,562
1994,680
1995,691
1996,521
1997,589
1998,555
1999,666
2000,792
2001,831
2002,643
2003,484
2004,598
2005,550
2006,652
2007,563
2008,647
2009,571
2010,660
2011,539
2012,634
2013,924
2014,733
2015,553
2016,692
