year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.9,13.1,18.5,8.1
1988,6.2,14.4,17.5,8.3
1989,6.8,14.0,18.8,8.2
1990,7.6,13.8,18.1,7.8
1991,4.8,12.0,19.6,6.7
1992,4.5,13.6,18.3,6.6
1993,4.3,14.3,16.5,5.9
1994,6.0,13.2,18.6,9.6
1995,5.9,13.0,18.7,8.2
1996,3.9,13.2,16.5,6.5
1997,5.1,13.4,18.9,7.9
1998,5.8,14.3,17.8,6.4
1999,5.6,14.3,19.6,7.1
2000,5.7,14.7,18.1,9.5
2001,6.5,13.4,17.7,7.5
2002,6.7,14.2,17.6,9.1
2003,4.7,15.6,20.2,7.5
2004,4.7,13.3,18.7,7.3
2005,4.4,14.7,18.2,7.7
2006,3.6,14.3,20.0,9.5
2007,7.1,16.0,16.8,6.5
2008,6.1,14.0,17.1,7.0
2009,3.5,14.6,19.1,8.3
2010,3.7,13.5,18.0,6.0
2011,5.8,15.7,18.1,9.4
2012,4.9,14.0,18.2,8.2
2013,3.3,12.9,19.2,8.6
2014,7.3,14.7,18.3,9.7
2015,4.8,14.5,19.5,10.0
2016,5.7,13.9,19.5,7.1
