year,annual-frozen-days
1987,64
1988,30
1989,50
1990,32
1991,64
1992,50
1993,62
1994,32
1995,53
1996,75
1997,67
1998,56
1999,37
2000,27
2001,51
2002,37
2003,67
2004,60
2005,65
2006,69
2007,45
2008,63
2009,61
2010,75
2011,35
2012,46
2013,55
2014,14
2015,43
2016,51
