year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,92,0,-48,132
1988,234,-64,-100,139
1989,38,-131,-218,134
1990,76,-111,-113,204
1991,98,-132,-176,144
1992,17,-120,-172,141
1993,-20,-188,-125,141
1994,105,-91,-150,74
1995,135,-90,-182,58
1996,14,-215,-213,163
1997,14,-144,-171,94
1998,-31,-108,-212,121
1999,34,-125,-154,114
2000,46,-129,-47,143
2001,88,-66,-31,87
2002,33,-190,-152,143
2003,-3,-178,-316,57
2004,61,-126,-162,41
2005,3,-142,-97,7
2006,62,-163,-124,77
2007,48,-215,-78,38
2008,85,-62,-148,37
2009,8,-114,-197,64
2010,22,-164,-109,134
2011,-9,-242,-134,99
2012,-16,-45,-214,131
2013,81,27,-209,279
2014,33,-214,-2,125
2015,73,-221,-213,40
2016,122,31,-248,45
