year,F1,F3,M4
,label F1,label F3,label M4
1987,54,122,1
1988,30,130,3
1989,66,137,3
1990,49,128,1
1991,33,127,1
1992,49,115,0
1993,34,128,1
1994,54,131,1
1995,47,132,0
1996,56,125,2
1997,59,129,2
1998,34,119,3
1999,53,127,4
2000,51,138,0
2001,42,129,0
2002,59,127,0
2003,48,122,4
2004,42,115,1
2005,57,131,4
2006,42,136,2
2007,46,119,0
2008,54,129,1
2009,39,117,0
2010,46,118,2
2011,42,135,3
2012,36,118,1
2013,57,123,1
2014,66,122,3
2015,57,124,1
2016,34,126,1
2016
2017,64,124,1
2018,30,112,3
2019,33,128,0
2020,49,123,2
2021,31,122,4
2022,53,131,3
2023,38,123,2
2024,45,122,2
2025,36,132,1
2026,38,117,6
2027,41,137,4
2028,51,119,2
2029,30,121,3
2030,34,123,1
2031,30,125,2
2032,40,122,3
2033,42,126,0
2034,43,123,2
2035,45,131,3
2036,36,136,2
2037,39,125,2
2038,46,120,3
2039,33,121,3
2040,26,131,3
2041,43,133,4
2042,47,119,1
2043,43,124,3
2044,54,114,1
2045,75,126,0
2046,28,124,0

min,,80,0
max,,170,8
steps,,10,9
decimal



