year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,1,0,39,6,0,-164,54,7,164
1988,0,0,29,6,0,-248,65,0,120
1989,0,0,-104,5,0,-310,52,0,60
1990,0,0,-34,4,0,-236,54,4,203
1991,0,0,-81,5,0,-192,55,4,168
1992,0,0,11,9,0,-212,56,2,154
1993,0,0,-47,3,0,-301,64,0,94
1994,1,0,-97,8,0,-239,39,5,132
1995,0,0,-23,6,1,-162,42,1,153
1996,0,0,53,3,0,-254,44,0,47
1997,0,0,53,4,0,-152,53,1,199
1998,0,0,-133,7,0,-304,33,1,117
1999,0,0,-40,4,0,-276,53,0,162
2000,0,0,37,6,0,-266,56,0,120
2001,0,0,-13,4,0,-192,59,0,55
2002,0,0,-67,6,0,-135,31,1,201
2003,0,0,44,4,1,-158,57,1,149
2004,0,0,36,3,0,-182,62,1,148
2005,0,0,-98,3,0,-150,52,0,91
2006,0,0,-50,9,0,-239,40,4,139
2007,0,0,77,7,0,-112,68,3,165
2008,1,1,-36,6,0,-213,43,2,132
2009,0,0,-92,6,0,-225,55,0,79
2010,0,0,51,5,0,-257,51,0,66
2011,0,0,33,6,0,-222,45,0,113
2012,0,0,6,4,0,-133,54,0,154
2013,0,0,72,1,1,-15,71,0,118
2014,0,0,-82,6,0,-240,38,0,108
2015,0,0,109,5,0,-180,55,1,127
2016,1,0,-134,4,0,-114,40,3,148
2016
2017,0,0,41,6,0,-265,47,0,174
2018,0,0,59,6,0,-173,49,0,144
2019,0,0,-53,3,0,-197,46,0,77
2020,0,0,-15,8,0,-203,45,1,180
2021,9,0,-176,9,1,-515,30,0,35
2022,1,0,-9,4,1,-334,44,0,128
2023,0,0,-87,6,0,-336,52,0,124
2024,1,0,-163,7,0,-408,39,0,98
2025,1,0,-62,7,0,-339,36,0,79
2026,2,0,-155,7,0,-371,40,1,163
2027,2,0,-207,9,0,-453,40,0,77
2028,4,0,-22,7,0,-241,27,0,268
2029,3,0,4,6,0,-237,49,0,178
2030,1,0,-206,9,0,-401,44,1,132
2031,3,0,-48,4,0,-126,34,0,247
2032,3,0,-106,5,0,-289,34,0,124
2033,0,0,-74,4,0,-255,46,0,169
2034,1,0,-102,6,0,-374,39,0,119
2035,1,0,-45,7,0,-201,48,0,119
2036,0,0,-185,7,0,-333,51,0,22
2037,1,0,64,8,0,-308,46,0,74
2038,2,0,-33,6,0,-256,34,0,104
2039,6,0,41,9,1,-173,42,1,175
2040,0,0,4,8,0,-285,45,0,128
2041,0,0,-70,4,0,-359,37,0,47
2042,1,0,-105,8,0,-368,32,0,110
2043,0,0,-135,8,0,-364,49,0,69
2044,1,0,-31,9,0,-339,39,0,103
2045,1,0,-44,7,0,-304,35,0,131
2046,5,0,-114,8,0,-286,42,0,119

min.,,,,0,,,0
max.,,,,11,,,72
steps.,,,,12,,,10
decimals
