year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,175,-146,-226,173
1988,216,29,-94,-67
1989,27,2,-288,-42
1990,19,37,-232,245
1991,109,59,-119,160
1992,28,-64,-74,464
1993,-50,-20,-48,161
1994,28,-60,-45,190
1995,353,-163,-228,-12
1996,110,-159,-27,324
1997,18,-138,-76,212
1998,-26,-52,-137,317
1999,179,-170,-260,179
2000,28,-78,-106,222
2001,-31,-191,-188,60
2002,-56,-78,-50,305
2003,115,-116,-223,300
2004,239,-150,-217,219
2005,90,-107,-173,335
2006,124,-199,-186,120
2007,291,-77,-37,101
2008,167,100,-162,518
2009,251,-93,-67,178
2010,99,61,-228,204
2011,-6,-227,-178,275
2012,132,34,-221,245
2013,570,129,-164,324
2014,330,-174,-199,188
2015,519,-172,-199,99
2016,536,-132,-145,145
