year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,312,192,121,355
1988,399,326,241,105
1989,181,329,85,197
1990,186,303,87,372
1991,258,305,189,291
1992,178,272,265,601
1993,105,311,307,324
1994,173,226,232,318
1995,523,159,136,165
1996,279,161,277,448
1997,178,190,222,361
1998,135,249,180,426
1999,308,139,86,316
2000,149,231,198,357
2001,135,119,118,194
2002,118,202,207,483
2003,289,216,122,446
2004,387,167,118,374
2005,255,233,169,506
2006,284,120,164,310
2007,428,190,249,202
2008,310,376,125,620
2009,373,178,224,313
2010,242,349,58,330
2011,128,77,120,414
2012,249,321,81,364
2013,688,373,130,451
2014,507,133,110,332
2015,624,135,118,256
2016,663,154,159,250
