year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,92,149,0
1988,106,150,0
1989,110,158,0
1990,89,154,0
1991,90,151,0
1992,93,148,0
1993,108,147,0
1994,103,149,0
1995,87,145,0
1996,74,152,0
1997,93,154,0
1998,81,132,0
1999,94,150,0
2000,101,152,0
2001,93,144,0
2002,88,158,1
2003,80,154,0
2004,83,148,0
2005,66,139,0
2006,122,167,0
2007,107,157,0
2008,89,153,0
2009,69,142,1
2010,92,151,1
2011,107,155,0
2012,82,144,0
2013,103,159,0
2014,94,146,0
2015,86,149,0
2016,71,141,0
2016
2017,85,144,0
2018,110,165,1
2019,107,152,0
2020,42,135,0
2021,83,143,0
2022,72,147,1
2023,85,153,0
2024,35,154,0
2025,52,136,0
2026,76,160,0
2027,108,157,0
2028,92,143,0
2029,95,151,1
2030,94,152,0
2031,70,152,0
2032,74,132,0
2033,90,143,0
2034,76,132,0
2035,91,137,1
2036,78,134,0
2037,36,154,0
2038,104,147,1
2039,82,141,0
2040,84,149,0
2041,106,157,0
2042,77,150,0
2043,94,164,0
2044,89,143,1
2045,65,134,0
2046,81,144,0

min,,90,0
max,,190,6
steps,,11,7
decimal
