year,annual-hydric-deficit
1987,253
1988,181
1989,100
1990,-393
1991,-436
1992,-247
1993,97
1994,40
1995,103
1996,33
1997,-67
1998,246
1999,135
2000,131
2001,123
2002,150
2003,-335
2004,-61
2005,-98
2006,-136
2007,62
2008,-167
2009,-12
2010,32
2011,-188
2012,-109
2013,-6
2014,-79
2015,-250
2016,-62
