year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,192,249,222,132
1988,309,108,168,241
1989,130,214,213,212
1990,61,103,108,80
1991,35,77,71,55
1992,97,106,163,102
1993,153,153,207,260
1994,93,310,235,116
1995,95,240,282,111
1996,53,139,286,137
1997,131,125,209,127
1998,129,133,320,308
1999,175,184,190,196
2000,220,125,281,156
2001,210,167,235,173
2002,158,131,252,279
2003,93,125,151,85
2004,80,190,188,137
2005,115,131,242,91
2006,95,170,204,114
2007,109,212,350,109
2008,78,170,165,143
2009,102,221,155,194
2010,72,124,294,201
2011,65,190,181,125
2012,101,175,192,151
2013,127,297,133,92
2014,40,138,328,111
2015,74,132,170,117
2016,116,183,227,100
