year,annual-frozen-days
1987,112
1988,101
1989,88
1990,76
1991,110
1992,88
1993,104
1994,75
1995,117
1996,140
1997,114
1998,78
1999,84
2000,57
2001,94
2002,71
2003,104
2004,122
2005,95
2006,85
2007,52
2008,70
2009,79
2010,106
2011,80
2012,75
2013,94
2014,50
2015,81
2016,75
