year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-4.1,10.4,15.3,4.3
1988,1.3,11.9,15.7,4.1
1989,3.2,11.5,16.0,4.5
1990,4.1,12.0,15.5,4.2
1991,1.1,9.5,16.9,3.4
1992,1.7,12.1,16.6,3.5
1993,0.5,13.0,14.5,2.8
1994,2.0,11.5,17.1,5.3
1995,1.1,10.6,16.3,3.0
1996,-2.8,11.0,13.7,2.7
1997,1.5,10.7,16.2,3.5
1998,2.7,12.7,14.9,2.7
1999,1.6,11.9,17.1,3.8
2000,2.1,13.6,15.3,5.9
2001,1.5,11.2,15.8,4.4
2002,2.7,12.3,16.2,3.9
2003,0.0,13.4,17.7,3.9
2004,0.8,11.2,15.8,4.0
2005,0.1,12.0,15.9,4.5
2006,-1.7,11.8,17.7,7.3
2007,4.1,13.8,15.0,3.6
2008,3.1,12.2,15.9,4.3
2009,-0.1,12.8,16.9,4.4
2010,-1.2,11.3,16.2,2.1
2011,1.0,13.4,16.5,5.4
2012,0.8,12.3,16.7,4.3
2013,-1.7,11.2,16.7,5.6
2014,4.1,12.6,16.6,6.3
2015,1.8,11.7,17.9,6.8
2016,1.9,12.2,17.7,4.3
