year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-7.3,10.3,14.3,2.6
1988,-2.0,11.9,16.2,0.9
1989,2.6,12.1,15.9,2.4
1990,2.8,11.7,14.7,3.1
1991,-1.5,10.6,16.5,3.1
1992,0.4,11.6,17.0,1.6
1993,-1.2,12.3,13.9,0.9
1994,-2.8,11.1,17.4,2.2
1995,0.2,12.1,16.0,0.3
1996,-6.6,11.8,14.9,1.9
1997,-1.2,10.6,16.7,1.5
1998,0.2,12.7,14.6,-0.3
1999,-1.3,12.8,17.0,2.7
2000,0.1,12.9,14.4,5.5
2001,-1.2,11.6,17.1,2.7
2002,1.3,13.2,17.7,-0.6
2003,-3.1,11.4,17.0,3.3
2004,-2.4,10.8,16.2,3.7
2005,-3.1,11.6,16.9,3.3
2006,-5.4,11.8,18.1,6.3
2007,-0.1,12.6,16.4,3.3
2008,1.5,12.1,16.2,4.3
2009,-1.8,12.2,16.8,2.3
2010,-4.9,12.5,18.1,0.4
2011,-3.3,13.1,17.4,4.7
2012,-3.2,12.1,17.0,2.8
2013,-4.1,13.3,16.6,5.4
2014,0.2,12.2,17.4,3.1
2015,1.4,11.1,17.1,4.5
2016,-1.0,13.1,16.7,2.5
