year,annual-hydric-deficit
1987,125
1988,-49
1989,-60
1990,245
1991,100
1992,86
1993,239
1994,145
1995,70
1996,-63
1997,54
1998,120
1999,-103
2000,-16
2001,-7
2002,-37
2003,-94
2004,70
2005,25
2006,-4
2007,71
2008,11
2009,94
2010,182
2011,44
2012,175
2013,70
2014,-49
2015,-69
2016,266
