year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,28,34,-22,85
1988,75,-174,-12,62
1989,42,-91,-140,130
1990,60,-123,161,147
1991,66,12,-189,211
1992,94,-186,3,176
1993,74,-116,174,107
1994,116,99,-185,115
1995,136,-45,-84,63
1996,32,-76,-96,78
1997,35,-33,-99,151
1998,92,-80,0,109
1999,54,-151,-126,121
2000,53,-143,29,45
2001,37,-133,-14,104
2002,105,-131,-184,173
2003,8,-131,-112,141
2004,102,-130,-18,116
2005,76,-66,-40,54
2006,23,-167,42,98
2007,89,-107,0,89
2008,108,-119,-81,103
2009,89,-114,-67,186
2010,51,33,-12,110
2011,47,-158,124,31
2012,64,-47,4,155
2013,74,-117,18,95
2014,37,-60,-102,75
2015,78,-147,-127,127
2016,106,-104,68,195
