year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,619,621,-116,-237,55,7.4,3136,34,16.2,126
1988,680,596,-50,-162,64,6.9,3019,28,15.9,140
1989,564,583,-142,-210,56,7.0,3077,19,17.1,138
1990,685,573,-13,-122,66,7.3,3089,26,16.2,124
1991,622,674,-231,-296,49,7.3,3066,31,17.1,140
1992,688,572,-22,-117,60,7.5,3144,22,15.9,124
1993,591,703,-301,-332,25,6.7,2961,24,15.9,126
1994,728,696,-149,-267,108,6.9,3037,25,16.5,134
1995,634,548,-36,-224,132,6.7,2883,21,14.7,131
1996,594,674,-253,-288,49,5.6,2739,17,15.4,141
1997,706,641,-102,-194,58,6.0,2772,24,15.4,140
1998,577,538,-84,-190,70,6.2,2834,13,15.2,132
1999,668,727,-265,-337,62,6.7,2917,26,15.4,126
2000,594,645,-239,-316,65,7.1,2930,20,15.4,125
2001,582,547,-84,-258,117,6.8,2946,24,15.3,123
2002,606,556,-61,-182,75,5.7,2715,11,15.1,147
2003,738,543,77,-116,93,6.4,2940,14,14.9,113
2004,712,598,-24,-249,129,7.4,3074,30,16.2,129
2005,839,534,179,74,78,6.7,2916,28,16.5,146
2006,641,575,-61,-164,74,6.6,2832,25,15.5,132
2007,688,582,-13,-111,58,6.8,3068,30,15.6,120
2008,548,597,-171,-277,78,7.5,3123,30,16.8,130
2009,950,578,259,81,140,7.1,3160,29,16.2,115
2010,592,574,-103,-202,67,7.5,3027,24,15.8,118
2011,967,549,288,171,76,7.3,3010,22,16.7,130
2012,549,579,-140,-287,118,6.1,2762,26,16.1,150
2013,628,560,-54,-167,80,7.3,3145,20,15.7,105
2014,532,572,-157,-242,64,6.3,2873,22,16.0,149
2015,572,557,-109,-193,68,6.7,2840,13,15.2,133
2016,654,609,-75,-214,87,7.6,3259,28,16.7,101
2016
2017,697,559,1,-137,118,7.2,3097,16,15.6,116
2018,620,606,-108,-240,71,7.6,3246,43,15.7,122
2019,607,600,-122,-351,189,7.7,3170,24,15.9,123
2020,664,610,-80,-215,139,8.6,3401,31,16.7,119
2021,475,689,-397,-408,15,8.6,3410,24,16.4,87
2022,672,573,-48,-190,115,8.1,3288,21,16.3,112
2023,614,703,-299,-359,67,7.5,3111,29,17.1,127
2024,608,677,-248,-311,43,7.9,3300,34,16.7,101
2025,747,584,33,-106,79,8.5,3343,35,17.8,101
2026,675,665,-207,-244,19,7.4,3101,37,16.4,123
2027,647,672,-212,-272,35,7.3,3145,30,16.5,142
2028,565,575,-131,-207,61,7.2,3078,25,15.2,121
2029,718,727,-221,-325,103,7.4,3041,25,15.3,113
2030,662,659,-189,-221,0,7.5,3143,20,16.2,126
2031,541,573,-161,-188,23,7.9,3191,32,17.3,113
2032,536,578,-170,-259,76,6.9,3073,18,16.0,131
2033,760,540,92,-127,138,7.8,3043,28,15.9,105
2034,625,592,-117,-222,57,7.6,3161,25,16.8,129
2035,524,614,-215,-345,79,7.8,3098,37,15.8,130
2036,563,604,-172,-268,90,8.2,3396,33,16.3,104
2037,610,588,-107,-244,104,7.7,3171,30,16.9,129
2038,527,570,-173,-253,41,7.6,3150,29,16.5,121
2039,765,585,51,-110,93,7.5,3187,29,16.5,129
2040,577,552,-105,-238,109,7.5,3095,16,15.8,108
2041,689,564,6,-223,175,6.9,2991,24,15.3,122
2042,533,599,-193,-269,63,7.9,3289,31,16.6,118
2043,653,567,-38,-162,82,7.9,3198,23,16.4,106
2044,720,594,-9,-194,134,8.6,3375,36,17.0,102
2045,716,573,14,-129,125,7.5,3241,29,15.6,121
2046,534,587,-187,-303,101,8.3,3306,30,16.1,105
