year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,69,285,225,138
1988,120,102,243,110
1989,106,177,113,171
1990,134,161,392,192
1991,116,271,83,259
1992,145,88,291,213
1993,120,158,396,146
1994,156,355,95,156
1995,181,197,167,97
1996,68,162,140,112
1997,78,194,161,183
1998,135,168,213,142
1999,96,111,136,156
2000,97,126,252,99
2001,87,121,243,143
2002,169,162,114,211
2003,60,135,161,182
2004,149,123,220,155
2005,117,193,228,103
2006,62,115,315,145
2007,151,173,250,129
2008,166,152,173,151
2009,131,158,201,227
2010,91,280,257,151
2011,96,124,371,72
2012,110,215,251,191
2013,115,154,269,144
2014,101,195,171,121
2015,139,105,154,172
2016,157,172,292,231
