year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,sugar-beet,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,35,25,27,24,21,29,10,25,14,,,170,318,314.7
2001,32,26,24,23,20,26,11,22,14,,,99,317,274.2
2002,40,30,28,25,21,31,6,20,15,,,165,340,241.3
2003,35,36,29,30,28,29,9,15,19,29,27,161,365,320
2004,43,38,30,30,26,33,8,29,18,21,17,151,369,201
2005,41,38,28,29,23,30,7,25,18,15,19,141,383,277.5
2006,26,22,26,21,16,21,3,17,11,7,15,97,387,223.1
2007,43,33,30,27,23,31,8,20,17,12,14,125,464,335.1
2008,48,33,32,30,24,35,9,26,17,17,21,163,397,279.8
2009,47,39,32,32,27,33,6,27,19,31,19,144,446,298.7
2010,32,33,20,24,19,25,8,16,15,15,15,134,522,302.1
2011,36,38,22,30,22,31,10,21,20,20,19,174,517,372.9
2012,55,45,36,36,27,44,8,34,21,18,23,220,537,331.8
2013,50,44,25,35,24,34,9,25,19,23,25,174,574,304.5
2014,54,48,29,41,28,39,8,32,20,32,26,180,640,315.3
2015,60,49,39,44,29,45,8,35,19,29,32,193,474,245.9
2016,50,36,27,32,25,39,12,26,17,33,29,147,646,280.7
2017,53,37,36,38,29,39,11,31,19,34,29,193,581,297.4
